runner,compiler,version,support
macos-12,gcc,10,&check;
macos-12,gcc,11,&check;
macos-12,gcc,12,&check;
macos-12,gcc,13,&check;
macos-12,gcc,9,&check;
macos-12,intel-classic,2021.1.2,
macos-12,intel-classic,2021.1,&check;
macos-12,intel-classic,2021.10,&check;
macos-12,intel-classic,2021.2,&check;
macos-12,intel-classic,2021.3,&check;
macos-12,intel-classic,2021.4,&check;
macos-12,intel-classic,2021.5,&check;
macos-12,intel-classic,2021.6,&check;
macos-12,intel-classic,2021.7.1,
macos-12,intel-classic,2021.7,&check;
macos-12,intel-classic,2021.8,&check;
macos-12,intel-classic,2021.9,&check;
macos-12,lfortran,0.31.0,&check;
macos-12,lfortran,0.32.0,&check;
macos-12,lfortran,0.33.0,&check;
macos-13,gcc,10,
macos-13,gcc,11,
macos-13,gcc,12,
macos-13,gcc,13,
macos-13,gcc,9,
macos-13,intel-classic,2021.1.2,
macos-13,intel-classic,2021.1,&check;
macos-13,intel-classic,2021.10,&check;
macos-13,intel-classic,2021.2,&check;
macos-13,intel-classic,2021.3,&check;
macos-13,intel-classic,2021.4,&check;
macos-13,intel-classic,2021.5,&check;
macos-13,intel-classic,2021.6,&check;
macos-13,intel-classic,2021.7.1,
macos-13,intel-classic,2021.7,&check;
macos-13,intel-classic,2021.8,&check;
macos-13,intel-classic,2021.9,&check;
macos-13,lfortran,0.31.0,&check;
macos-13,lfortran,0.32.0,&check;
macos-13,lfortran,0.33.0,&check;
macos-14,gcc,11,
macos-14,gcc,12,
macos-14,gcc,13,
macos-14,intel-classic,2021.1.2,
macos-14,intel-classic,2021.1,&check;
macos-14,intel-classic,2021.10,&check;
macos-14,intel-classic,2021.2,&check;
macos-14,intel-classic,2021.3,&check;
macos-14,intel-classic,2021.4,&check;
macos-14,intel-classic,2021.5,&check;
macos-14,intel-classic,2021.6,&check;
macos-14,intel-classic,2021.7.1,
macos-14,intel-classic,2021.7,&check;
macos-14,intel-classic,2021.8,&check;
macos-14,intel-classic,2021.9,&check;
macos-14,lfortran,0.31.0,&check;
macos-14,lfortran,0.32.0,&check;
macos-14,lfortran,0.33.0,&check;
ubuntu-20.04,gcc,10,&check;
ubuntu-20.04,gcc,11,&check;
ubuntu-20.04,gcc,12,
ubuntu-20.04,gcc,13,&check;
ubuntu-20.04,gcc,9,&check;
ubuntu-20.04,intel-classic,2021.1.2,&check;
ubuntu-20.04,intel-classic,2021.1,&check;
ubuntu-20.04,intel-classic,2021.10,&check;
ubuntu-20.04,intel-classic,2021.11,&check;
ubuntu-20.04,intel-classic,2021.12,&check;
ubuntu-20.04,intel-classic,2021.2,&check;
ubuntu-20.04,intel-classic,2021.3,
ubuntu-20.04,intel-classic,2021.4,&check;
ubuntu-20.04,intel-classic,2021.5,&check;
ubuntu-20.04,intel-classic,2021.6,&check;
ubuntu-20.04,intel-classic,2021.7.1,&check;
ubuntu-20.04,intel-classic,2021.7,&check;
ubuntu-20.04,intel-classic,2021.8,&check;
ubuntu-20.04,intel-classic,2021.9,&check;
ubuntu-20.04,intel,2021.1.2,&check;
ubuntu-20.04,intel,2021.1,&check;
ubuntu-20.04,intel,2021.2,&check;
ubuntu-20.04,intel,2021.4,&check;
ubuntu-20.04,intel,2022.0,&check;
ubuntu-20.04,intel,2022.1,&check;
ubuntu-20.04,intel,2022.2.1,&check;
ubuntu-20.04,intel,2022.2,&check;
ubuntu-20.04,intel,2023.0,&check;
ubuntu-20.04,intel,2023.1,&check;
ubuntu-20.04,intel,2023.2,&check;
ubuntu-20.04,intel,2024.0,&check;
ubuntu-20.04,intel,2024.1,&check;
ubuntu-20.04,lfortran,0.31.0,&check;
ubuntu-20.04,lfortran,0.32.0,&check;
ubuntu-20.04,lfortran,0.33.0,&check;
ubuntu-20.04,nvidia-hpc,20.11,&check;
ubuntu-20.04,nvidia-hpc,20.7,
ubuntu-20.04,nvidia-hpc,20.9,
ubuntu-20.04,nvidia-hpc,21.1,
ubuntu-20.04,nvidia-hpc,21.11,&check;
ubuntu-20.04,nvidia-hpc,21.3,
ubuntu-20.04,nvidia-hpc,21.5,
ubuntu-20.04,nvidia-hpc,21.7,
ubuntu-20.04,nvidia-hpc,21.9,
ubuntu-20.04,nvidia-hpc,22.1,
ubuntu-20.04,nvidia-hpc,22.11,&check;
ubuntu-20.04,nvidia-hpc,22.2,
ubuntu-20.04,nvidia-hpc,22.3,
ubuntu-20.04,nvidia-hpc,22.5,
ubuntu-20.04,nvidia-hpc,22.7,
ubuntu-20.04,nvidia-hpc,22.9,
ubuntu-20.04,nvidia-hpc,23.1,
ubuntu-20.04,nvidia-hpc,23.11,&check;
ubuntu-20.04,nvidia-hpc,23.3,&check;
ubuntu-20.04,nvidia-hpc,23.5,&check;
ubuntu-20.04,nvidia-hpc,23.7,&check;
ubuntu-20.04,nvidia-hpc,23.9,&check;
ubuntu-22.04,gcc,10,&check;
ubuntu-22.04,gcc,11,&check;
ubuntu-22.04,gcc,12,&check;
ubuntu-22.04,gcc,13,&check;
ubuntu-22.04,gcc,9,&check;
ubuntu-22.04,intel-classic,2021.1.2,&check;
ubuntu-22.04,intel-classic,2021.1,&check;
ubuntu-22.04,intel-classic,2021.10,&check;
ubuntu-22.04,intel-classic,2021.11,&check;
ubuntu-22.04,intel-classic,2021.12,&check;
ubuntu-22.04,intel-classic,2021.2,&check;
ubuntu-22.04,intel-classic,2021.3,
ubuntu-22.04,intel-classic,2021.4,&check;
ubuntu-22.04,intel-classic,2021.5,&check;
ubuntu-22.04,intel-classic,2021.6,&check;
ubuntu-22.04,intel-classic,2021.7.1,&check;
ubuntu-22.04,intel-classic,2021.7,&check;
ubuntu-22.04,intel-classic,2021.8,&check;
ubuntu-22.04,intel-classic,2021.9,&check;
ubuntu-22.04,intel,2021.1.2,&check;
ubuntu-22.04,intel,2021.1,&check;
ubuntu-22.04,intel,2021.2,&check;
ubuntu-22.04,intel,2021.4,&check;
ubuntu-22.04,intel,2022.0,&check;
ubuntu-22.04,intel,2022.1,&check;
ubuntu-22.04,intel,2022.2.1,&check;
ubuntu-22.04,intel,2022.2,&check;
ubuntu-22.04,intel,2023.0,&check;
ubuntu-22.04,intel,2023.1,&check;
ubuntu-22.04,intel,2023.2,&check;
ubuntu-22.04,intel,2024.0,&check;
ubuntu-22.04,intel,2024.1,&check;
ubuntu-22.04,lfortran,0.31.0,&check;
ubuntu-22.04,lfortran,0.32.0,&check;
ubuntu-22.04,lfortran,0.33.0,&check;
ubuntu-22.04,nvidia-hpc,20.11,&check;
ubuntu-22.04,nvidia-hpc,20.7,
ubuntu-22.04,nvidia-hpc,20.9,
ubuntu-22.04,nvidia-hpc,21.1,
ubuntu-22.04,nvidia-hpc,21.11,&check;
ubuntu-22.04,nvidia-hpc,21.7,
ubuntu-22.04,nvidia-hpc,21.9,
ubuntu-22.04,nvidia-hpc,22.11,&check;
ubuntu-22.04,nvidia-hpc,22.5,
ubuntu-22.04,nvidia-hpc,22.7,
ubuntu-22.04,nvidia-hpc,22.9,
ubuntu-22.04,nvidia-hpc,23.1,
ubuntu-22.04,nvidia-hpc,23.11,&check;
ubuntu-22.04,nvidia-hpc,23.3,&check;
ubuntu-22.04,nvidia-hpc,23.5,&check;
ubuntu-22.04,nvidia-hpc,23.7,&check;
ubuntu-22.04,nvidia-hpc,23.9,&check;
windows-2019,gcc,10,&check;
windows-2019,gcc,11,&check;
windows-2019,gcc,12,&check;
windows-2019,gcc,13,&check;
windows-2019,gcc,9,&check;
windows-2019,intel-classic,2021.1.2,
windows-2019,intel-classic,2021.1,
windows-2019,intel-classic,2021.10,&check;
windows-2019,intel-classic,2021.11,&check;
windows-2019,intel-classic,2021.12,&check;
windows-2019,intel-classic,2021.2,
windows-2019,intel-classic,2021.3,
windows-2019,intel-classic,2021.4,
windows-2019,intel-classic,2021.5,
windows-2019,intel-classic,2021.6,&check;
windows-2019,intel-classic,2021.7.1,
windows-2019,intel-classic,2021.7,&check;
windows-2019,intel-classic,2021.8,
windows-2019,intel-classic,2021.9,&check;
windows-2019,intel,2021.1.2,
windows-2019,intel,2021.1,
windows-2019,intel,2021.2,
windows-2019,intel,2021.4,
windows-2019,intel,2022.0,
windows-2019,intel,2022.1,&check;
windows-2019,intel,2022.2.1,
windows-2019,intel,2022.2,&check;
